3.9153	1.763	0
46.214	2.4847	0
85.887	2.1954	10
95.52	1.6149	0
112.73	2.0486	0
120.63	2.1872	0
128.79	2.2868	0
158.1	2.6383	0
209.45	2.684	0
218.18	2.4519	0
267.73	1.7836	0
299.33	2.0379	0
317.03	1.9243	0
341.3	1.8752	0
351.91	3.1652	0
363.02	2.1129	0
387.73	2.0188	0
439.08	2.1016	0
480.39	2.0465	0
511.41	1.9208	0
539.91	3.8599	0
552.07	1.7635	0
594.94	2.4426	0
